ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
1,Octosporea muscaedomesticae,Protozoa,Microspora,Microsporea (Microsporida),Phormia regina,Diptera,Calliphoridae,,Midgut epithelium,Lab,USA,,,,,,7164,,
2,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Camnula pellucida,Orthoptera,Acrididae,AdultNymph,Fat body,Field,"USA, Canada",,,,,,7164,,Nearctic
3,Nosema pyrausta,Protozoa,Microspora,Microsporea (Microsporida),Ostrinia nubilalis,Lepidoptera,Pyralidae,EggLarvaAdultPupa,"Malpighian tubules, silk glands, midgut; fat body; Muscle tissue.",Field,"France, China, USA, Canada",,,,,,7164,,NearcticPalearctic
4,Vavraia culicis,Protozoa,Microspora,Microsporea (Microsporida),Anopheles gambiae,Diptera,Culicidae,Larva,Malpighian tubules; fat body; intestine,Field,"Czechoslovakia, Italy, Senegal, Tokelau Islands, USA",,,,,,7164,,NearcticAfrotropicalPalearctic
5,Amblyospora connecticus,Protozoa,Microspora,Microsporea (Microsporida),Aedes cantator,Diptera,Culicidae,LarvaAdult,,Field,USA,Acanthocyclops vernalis,,,,,7164,,Nearctic
6,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Hypera punctata,Coleoptera,Curculionidae,,,,USA,,,,,,7164,,
7,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Agrotis ipsilon,Lepidoptera,Noctuidae,,,,USA; India,,,,,,7164,,
8,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Xestia badinodis,Lepidoptera,Noctuidae,,,,USA,,,,,,7164,,
9,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Anticarsia gemmatalis,Lepidoptera,Noctuidae,Larva,,Field,"Brazil, USA (Puerto Rico), USA, Argentina, Mexico",,,,,,7164,,NearcticNeotropical
10,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Chrysodeixis eriosoma,Lepidoptera,Noctuidae,,,Field,"Ceylon, New Zealand",,,,,,7164,,AustralianOriental
11,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Cosmia exigua,Lepidoptera,Noctuidae,,,,Fiji,,,,,,7164,,
12,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Diaphania pyloalis,Lepidoptera,Pyralidae,,,Field,Japan,,,,,,7164,,Palearctic
13,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Helicoverpa armigera,Lepidoptera,Noctuidae,,,Field,"Africa, France, China",,,,,,7164,,AfrotropicalPalearctic
14,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Helicoverpa zea,Lepidoptera,Noctuidae,Larva,,Field,"USA, Mexico",,,,,,7164,,Nearctic
15,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Heliothis virescens,Lepidoptera,Noctuidae,,,,USA,,,,,,7164,,
16,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Hyphantria cunea,Lepidoptera,Arctiidae,,,,Japan,,,,,,7164,,
17,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Pseudaletia unipuncta,Lepidoptera,Noctuidae,,,,USA; Japan,,,,,,7164,,
18,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Ostrinia nubilalis,Lepidoptera,Pyralidae,,,,USA,,,,,,7164,,
19,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Pieris rapae,Lepidoptera,Pieridae,,,Field,"USA, Japan",,,,,,7164,,NearcticPalearctic
20,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Hypena scabra,Lepidoptera,Noctuidae,,,Field,USA,,,,,,7164,,Nearctic
21,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Pseudoplusia includens,Lepidoptera,Noctuidae,,,Field,USA,,,,,,7164,,Nearctic
22,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Spodoptera exigua,Lepidoptera,Noctuidae,,,Field," India; Thailand, Japan",,,,,,7164,,OrientalPalearctic
23,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Spodoptera frugiperda,Lepidoptera,Noctuidae,Larva,,Field,"Colombia, USA, Brazil, Mexico",,,,,,7164,,NearcticNeotropical
24,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Spodoptera littoralis,Lepidoptera,Noctuidae,Larva,,Field,USA; Israel; Madagascar; Kenya,,,,,,7164,,NearcticAfrotropicalPalearctic
25,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Spodoptera litura,Lepidoptera,Noctuidae,,,Field,"India, Japan",,,,,,7164,,OrientalPalearctic
26,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Spodoptera ornithogalli,Lepidoptera,Noctuidae,,,,USA,,,,,,7164,,
