ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue
1,Agrilus suvorovi populneus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
2,Trachys auricollis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
3,Melanophila picta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
4,Batocera lineolata,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
5,Stenodryas clavigera ,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
6,Chrysomela vigintipunctata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
7,Coccinella septempunctata brucki,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,12/21/2000,,
8,Anthonomus grandis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
9,Anthonomus grandis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
10,Curculio dentipes,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
11,Anthrenus museorum,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
12,Dermestes lardarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
13,Macrodorcus rectus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
14,Macrodorcus rubrofemoratus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
15,Allomyrina dichotomus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,6/19/2001,,
1349,Costelytra zealandica,DNA virus,Iridoviridae,Costelytra zealandica IV Type 16,Larva,fat body,,New Zealand,,1/8/2096,2/12/2099,,
16,Heteronychus arator,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
17,Odontria sp.,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
18,Opogonia sp.,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
19,Tenebrio molitor,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
20,Bibio marci,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
21,Calliphora vomitoria,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
22,Culicoides arboricola,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
23,Culiseta annulata,DNA virus,Iridoviridae,Culiseta annulata IV,,,,,,1/8/2096,2/12/2099,,
24,Corethrella brakeleyi,DNA virus,Iridoviridae,Corethrella brakeleyi IV Type 13,,,,,,1/8/2096,2/12/2099,,
25,Mochlonyx velutinus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
26,Chironomus plumosus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
27,Chironomus plumosus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
28,Goeldichironomus holoprasinus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
29,Aedes aegypti,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
30,Aedes albopictus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
31,Aedes annulipes,DNA virus,Iridoviridae,Aedes annulipes IV Type 5,,,,,,1/8/2096,2/12/2099,,
32,Aedes cantans,DNA virus,Parvoviridae,DNV,,,,,,1/8/2096,2/12/2099,,
33,Aedes caspius,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
34,Aedes cataphylla,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
35,Aedes detritus,DNA virus,Iridoviridae,Aedes detritus IV Type 14,,,,,,1/8/2096,2/12/2099,,
36,Aedes dorsalis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
37,Aedes excrucians,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
38,Aedes flavescens,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
